"weight" "clarity" "color" "value"
9.35 0.88 4 182.5
11.1 1.05 5 191.2
8.65 0.85 6 175.7
10.43 1.15 5 195.2
10.62 0.92 5 181.6
12.35 0.44 4 182.9
11.24 1.09 6 195.9
9.77 1.43 4 188.6
11.83 0.95 6 190.3
9.55 1.05 5 190.7
11.05 1.01 5 186.7
8.41 1.08 4 186.4
12.86 0.7 3 189.7
7.07 0.68 6 181.1
9.53 0.81 7 178
9.61 1.16 3 186.7
8.3 0.84 5 181.9
10.12 0.74 7 178.1
8.36 1 5 176.6
5.9 0.63 6 176.9
9.67 1.09 5 195
11.42 0.91 4 183
9.46 1.14 4 197.4
7.07 1.19 5 198.4
11.49 1.08 4 193.7
7.18 1.24 4 187.8
10.93 1 5 195.8
9.76 0.99 5 187
10.93 1.25 3 192
11 0.81 5 185.8
11.79 1.18 5 201.9
10.56 0.81 5 192.4
12.02 1.02 6 203.2
5.85 1.11 5 189.1
12.38 1.11 4 195.1
8.55 0.83 7 186.2
10.34 0.96 6 184.5
11.84 0.96 6 192.2
6.66 0.96 5 177.5
10.9 1.34 4 204.8
10.96 1.04 5 192.3
11.52 1.1 4 191
5.36 1.29 4 181.5
9.08 1.07 6 185.3
7.79 0.82 6 177.2
10.81 1 5 186
11.14 0.86 6 188.8
8.59 1.39 4 190.6
9.42 0.89 4 187.9
7.03 0.99 7 175.1
7.7 0.97 5 178.4
9.45 0.72 5 180
11.16 1.08 4 192.4
7.21 0.84 6 178.4
11.5 1.24 5 197.7
7.9 1.18 3 190.7
10.33 0.98 6 192.9
12.26 1.06 6 193
12.35 1.04 6 197.2
9.14 0.97 4 186.5
9.48 1.31 5 200.8
7.18 0.57 5 176.8
8.72 1.12 6 189.8
10.22 1.01 4 191.6
10.85 1.26 5 197.4
10.77 1.14 6 197.7
8.62 1.07 7 183.9
10.3 0.98 7 187.7
9.88 1.09 4 188.3
9.85 1.26 2 194.3
13.02 1.25 4 197.9
13.24 1.05 5 199.2
12.31 0.98 5 194.1
9.84 1.16 5 199
6.36 0.9 6 188.6
7.93 0.92 6 182.7
10.6 1.24 5 200.9
7.44 1.02 3 189
10.28 1.12 4 204.1
9.9 0.9 5 180.3
13.7 1.15 5 205.9
12.22 1.16 4 195
8.98 0.86 5 192
8.91 1.24 6 188.1
6.54 1.12 8 184.5
10.94 0.91 6 185.7
10.01 1.08 6 192.8
12.7 0.89 4 199.3
11.45 1.21 6 192.2
13.11 0.96 4 198.2
12.65 1.12 5 201.3
9.93 0.89 6 178.8
9.28 0.58 5 181.3
8.56 1.05 5 182.4
10.56 0.99 6 197.8
8.42 0.87 4 193.1
9.11 0.71 4 183.9
12.73 1 3 190.8
10.99 1.11 4 197.4
8.37 0.84 5 179.4
10.54 0.95 5 185
8.82 0.93 3 187
14.27 1.16 3 204.9
12.35 0.93 5 193.2
11.49 0.76 5 188.2
9.54 0.79 4 183.4
10.18 0.98 4 198.5
5.63 1.17 5 177.3
9.07 0.79 7 185.1
13.37 0.97 4 193.6
8.86 0.94 4 175.9
9.91 0.73 5 187.2
9.69 1.31 4 204.5
13.2 0.89 6 194.5
11.54 1.44 7 206.4
8.46 1.16 5 189.4
8.74 1.04 6 187.4
8.34 1 4 181.4
8.82 1.06 3 195
11.96 0.78 4 195.2
8.68 1.15 4 186.9
8.46 1 4 195.7
5.96 0.82 6 179.7
8.93 1.08 7 189
10.87 0.77 4 189.8
8.46 1.04 5 184.2
8.49 1.04 5 189.2
9.4 0.79 6 186.1
13.33 0.98 4 192.1
7.51 0.69 4 181
8.43 0.77 4 179.5
10.49 0.57 6 175.2
9.71 1.07 5 189.7
6.78 1.18 5 188.7
11.9 1.22 6 199.1
6.36 0.71 4 174
13.57 0.94 6 194.8
13.77 1.17 4 205.9
12.98 0.74 5 194.3
9.24 0.94 5 181.9
8.18 0.93 6 184.4
9.32 1.28 5 197.7
7.18 0.95 5 175
10.44 1.08 5 193.3
11.34 1.1 5 190.8
9.42 1.12 6 191.8
10.94 0.93 7 185.3
9.06 1.15 5 192
9.52 0.94 4 196.3
9.11 0.95 5 193.1
